year,week,revenue,orders,aov,revenue_wow_pct,orders_wow_pct
2024,1,801617.5599999999,508,1577.9873228346455,,
2024,2,692341.23,450,1538.5360666666666,-13.631978071937445,-11.41732283464567
2024,3,769282.4,472,1629.835593220339,11.113186195772284,4.888888888888898
2024,4,617181.99,382,1615.6596596858637,-19.771726221735996,-19.067796610169495
2024,5,708509.73,437,1621.3037299771167,14.797538081109597,14.39790575916231
2024,6,687285.24,426,1613.3456338028168,-2.995652579111363,-2.517162471395884
2024,7,658637.23,418,1575.6871531100478,-4.168285354127499,-1.8779342723004744
2024,8,712508.47,438,1626.7316666666666,8.179197522739479,4.784688995215314
2024,9,678744.58,400,1696.8614499999999,-4.738735246192938,-8.675799086757996
2024,10,705628.27,438,1611.0234474885845,3.960796268899869,9.499999999999996
2024,11,724797.32,420,1725.7079047619047,2.7165932566732165,-4.109589041095896
2024,12,626723.21,426,1471.1812441314553,-13.531246224806681,1.4285714285714235
2024,13,684229.6,410,1668.8526829268292,9.175723681910553,-3.7558685446009377
2024,14,740645.79,485,1527.1047216494846,8.245213302669164,18.29268292682926
2024,15,716469.42,428,1673.993971962617,-3.2642283702172925,-11.752577319587632
2024,16,702056.92,428,1640.319906542056,-2.0116001601296563,0.0
2024,17,711344.72,440,1616.6925454545453,1.3229411655111933,2.8037383177569986
2024,18,613506.08,378,1623.0319576719576,-13.754040375811039,-14.090909090909086
2024,19,687097.6,429,1601.6261072261073,11.995238906189808,13.492063492063489
2024,20,725571.73,445,1630.4982696629213,5.599514537672667,3.7296037296037365
2024,21,640054.45,399,1604.14649122807,-11.7861923865198,-10.337078651685394
2024,22,689003.26,425,1621.1841411764706,7.647600918953068,6.516290726817053
2024,23,708169.66,455,1556.4168351648352,2.7817575202764733,7.058823529411762
2024,24,728442.88,453,1608.0416777041942,2.862763140685809,-0.439560439560438
2024,25,766338.39,453,1691.696225165563,5.202262392900314,0.0
2024,26,698390.31,428,1631.7530607476638,-8.866589601494447,-5.518763796909488
2024,27,692081.83,412,1679.8102669902912,-0.9032885923059397,-3.738317757009346
2024,28,673657.91,418,1611.6217942583733,-2.6621013876350297,1.4563106796116498
2024,29,696062.73,399,1744.518120300752,3.3258453092312124,-4.545454545454541
2024,30,645514.8,396,1630.087878787879,-7.26197910352131,-0.7518796992481258
2024,31,648364.78,408,1589.1293627450982,0.44150498176029895,3.0303030303030276
2024,32,694673.21,435,1596.9499080459768,7.142342000748392,6.617647058823528
