order_date,order_id,year,month,week,customer_id,platform_id,platform_name,location_id,location_name,region,order_amount,is_negative_revenue,is_future_date,is_missing_key,is_duplicate_order,is_anomalous_day_x,is_anomalous_day_y,is_anomalous_day
2024-01-28,1,2024,1,4,846,1,Web,1,Delhi,North,3022.67,False,False,False,False,False,False,False
2024-09-27,2,2024,9,39,1056,3,Marketplace,3,Bangalore,South,1396.24,False,False,False,False,False,False,False
2024-01-20,3,2024,1,3,433,3,Marketplace,2,Mumbai,West,485.25,False,False,False,False,False,False,False
2025-12-28,4,2025,12,52,537,1,Web,4,Hyderabad,South,2753.72,False,False,False,False,False,False,False
2025-12-19,5,2025,12,51,66,2,Mobile App,2,Mumbai,West,1997.41,False,False,False,False,False,False,False
2024-08-11,6,2024,8,32,1783,3,Marketplace,1,Delhi,North,885.58,False,False,False,False,False,False,False
2024-07-01,7,2024,7,27,1638,1,Web,4,Hyderabad,South,554.46,False,False,False,False,False,False,False
2025-07-29,8,2025,7,31,1000,2,Mobile App,1,Delhi,North,93.9,False,False,False,False,False,False,False
2025-11-22,9,2025,11,47,1912,3,Marketplace,4,Hyderabad,South,1791.4,False,False,False,False,False,False,False
2025-01-20,10,2025,1,4,223,2,Mobile App,4,Hyderabad,South,106.23,False,False,False,False,False,False,False
2025-10-17,11,2025,10,42,1315,1,Web,3,Bangalore,South,893.33,False,False,False,False,False,False,False
2024-12-21,12,2024,12,51,1467,2,Mobile App,1,Delhi,North,1194.22,False,False,False,False,False,False,False
2024-10-17,13,2024,10,42,1686,1,Web,2,Mumbai,West,4700.42,False,False,False,False,False,False,False
2024-05-10,15,2024,5,19,1158,3,Marketplace,3,Bangalore,South,3010.4,False,False,False,False,False,False,False
2024-06-10,16,2024,6,24,1778,1,Web,1,Delhi,North,3270.87,False,False,False,False,False,False,False
2025-09-29,17,2025,9,40,815,3,Marketplace,3,Bangalore,South,643.57,False,False,False,False,False,False,False
2024-06-03,18,2024,6,23,633,2,Mobile App,3,Bangalore,South,716.19,False,False,False,False,False,False,False
2025-06-03,19,2025,6,23,560,1,Web,3,Bangalore,South,424.56,False,False,False,False,False,False,False
2025-06-18,20,2025,6,25,871,2,Mobile App,2,Mumbai,West,1036.5,False,False,False,False,False,False,False
2025-11-09,21,2025,11,45,857,3,Marketplace,2,Mumbai,West,2308.97,False,False,False,False,False,False,False
2024-04-19,22,2024,4,16,1130,2,Mobile App,1,Delhi,North,2028.89,False,False,False,False,False,False,False
2025-04-18,23,2025,4,16,267,3,Marketplace,3,Bangalore,South,378.13,False,False,False,False,False,False,False
2025-12-29,24,2025,12,1,636,1,Web,2,Mumbai,West,524.45,False,False,False,False,False,False,False
2025-05-31,25,2025,5,22,19,3,Marketplace,1,Delhi,North,4957.35,False,False,False,False,False,False,False
2024-07-09,27,2024,7,28,1580,1,Web,3,Bangalore,South,1140.87,False,False,False,False,False,False,False
2024-06-11,28,2024,6,24,678,1,Web,3,Bangalore,South,447.84,False,False,False,False,False,False,False
2025-03-08,29,2025,3,10,208,1,Web,2,Mumbai,West,326.84,False,False,False,False,False,False,False
2025-06-04,30,2025,6,23,470,1,Web,1,Delhi,North,898.23,False,False,False,False,False,False,False
2024-10-31,31,2024,10,44,156,2,Mobile App,2,Mumbai,West,4890.97,False,False,False,False,False,False,False
2025-06-17,32,2025,6,25,1444,1,Web,4,Hyderabad,South,183.04,False,False,False,False,False,False,False
2024-03-26,33,2024,3,13,1963,1,Web,1,Delhi,North,5453.66,False,False,False,False,False,False,False
2025-08-16,34,2025,8,33,645,1,Web,3,Bangalore,South,2750.1,False,False,False,False,False,False,False
2025-05-30,35,2025,5,22,1958,1,Web,1,Delhi,North,3099.87,False,False,False,False,False,False,False
2024-09-01,36,2024,9,35,1579,1,Web,2,Mumbai,West,1553.02,False,False,False,False,False,False,False
2025-01-10,37,2025,1,2,1922,3,Marketplace,2,Mumbai,West,2415.2,False,False,False,False,False,False,False
2025-01-12,38,2025,1,2,1435,1,Web,2,Mumbai,West,1111.89,False,False,False,False,False,False,False
2024-11-06,39,2024,11,45,744,1,Web,2,Mumbai,West,780.93,False,False,False,False,False,False,False
2025-07-25,40,2025,7,30,1258,1,Web,2,Mumbai,West,1208.12,False,False,False,False,False,False,False
2025-11-13,41,2025,11,46,1798,1,Web,4,Hyderabad,South,2222.6,False,False,False,False,False,False,False
2025-06-01,42,2025,6,22,644,3,Marketplace,3,Bangalore,South,3109.96,False,False,False,False,False,False,False
2024-08-26,45,2024,8,35,74,2,Mobile App,4,Hyderabad,South,207.3,False,False,False,False,True,True,True
2024-07-26,46,2024,7,30,1417,1,Web,4,Hyderabad,South,847.55,False,False,False,False,False,False,False
2024-10-27,47,2024,10,43,74,1,Web,2,Mumbai,West,2084.18,False,False,False,False,False,False,False
2025-08-31,48,2025,8,35,1684,3,Marketplace,2,Mumbai,West,1838.68,False,False,False,False,False,False,False
2025-06-13,49,2025,6,24,1800,2,Mobile App,2,Mumbai,West,364.84,False,False,False,False,False,False,False
2025-12-03,51,2025,12,49,624,1,Web,1,Delhi,North,2438.11,False,False,False,False,False,False,False
2024-08-23,53,2024,8,34,1630,1,Web,2,Mumbai,West,567.52,False,False,False,False,False,False,False
2025-02-14,54,2025,2,7,81,1,Web,1,Delhi,North,1373.12,False,False,False,False,False,False,False
2025-10-10,55,2025,10,41,399,1,Web,4,Hyderabad,South,846.38,False,False,False,False,False,False,False
2024-03-25,57,2024,3,13,826,1,Web,3,Bangalore,South,3015.79,False,False,False,False,True,True,True
2025-03-15,58,2025,3,11,534,1,Web,3,Bangalore,South,1526.56,False,False,False,False,False,False,False
2025-10-10,59,2025,10,41,698,1,Web,1,Delhi,North,1858.28,False,False,False,False,False,False,False
2025-02-23,60,2025,2,8,1665,2,Mobile App,1,Delhi,North,2905.24,False,False,False,False,False,False,False
2025-04-21,61,2025,4,17,608,2,Mobile App,1,Delhi,North,2384.3,False,False,False,False,False,False,False
2024-04-02,62,2024,4,14,1626,1,Web,3,Bangalore,South,1507.12,False,False,False,False,False,False,False
2025-07-20,63,2025,7,29,1375,2,Mobile App,1,Delhi,North,865.44,False,False,False,False,False,False,False
2024-11-22,64,2024,11,47,110,2,Mobile App,3,Bangalore,South,2027.19,False,False,False,False,False,False,False
2025-07-14,65,2025,7,29,481,1,Web,2,Mumbai,West,1505.12,False,False,False,False,True,True,True
2025-02-24,66,2025,2,9,1322,1,Web,1,Delhi,North,2206.04,False,False,False,False,False,False,False
2024-06-02,67,2024,6,22,882,2,Mobile App,1,Delhi,North,1559.68,False,False,False,False,False,False,False
2024-06-02,68,2024,6,22,1965,1,Web,3,Bangalore,South,1779.48,False,False,False,False,False,False,False
2024-01-20,69,2024,1,3,1673,3,Marketplace,2,Mumbai,West,991.9,False,False,False,False,False,False,False
2025-04-01,70,2025,4,14,736,2,Mobile App,2,Mumbai,West,1818.79,False,False,False,False,False,False,False
2025-03-07,71,2025,3,10,231,3,Marketplace,1,Delhi,North,3776.77,False,False,False,False,False,False,False
2024-12-16,72,2024,12,51,271,3,Marketplace,2,Mumbai,West,817.29,False,False,False,False,False,False,False
2025-04-13,73,2025,4,15,269,3,Marketplace,2,Mumbai,West,654.59,False,False,False,False,False,False,False
2024-04-03,74,2024,4,14,1823,1,Web,1,Delhi,North,1620.54,False,False,False,False,False,False,False
