month,revenue,orders,aov,revenue_mom_pct,orders_mom_pct
2024-01,2987485.44,1879,1589.933709419904,,
2024-02,2888480.67,1775,1627.3130535211267,-3.313983347815075,-5.534858967535927
2024-03,3012870.25,1856,1623.3137122844828,4.30640167656029,4.563380281690144
2024-04,3059430.31,1896,1613.6235812236287,1.5453722243764068,2.155172413793105
2024-05,2969446.84,1832,1620.877096069869,-2.94118384412555,-3.3755274261603407
2024-06,3098214.06,1918,1615.3357977059438,4.3364042846444795,4.694323144104806
2024-07,2980963.08,1800,1656.0906,-3.784469947179825,-6.15224191866528
2024-08,2971186.48,1860,1597.4120860215053,-0.3279678324630608,3.3333333333333437
2024-09,2938740.65,1874,1568.1647011739594,-1.0920159410526153,0.7526881720430145
2024-10,3077381.4,1877,1639.5212573255194,4.7176925939347525,0.16008537886873508
2024-11,2985551.7399999998,1819,1641.31486531061,-2.9840194653805385,-3.090037293553538
2024-12,3228145.23,2067,1561.7538606676342,8.125583179476248,13.633864760857616
2025-01,3032116.61,1887,1606.8450503444622,-6.072484539365042,-8.70827285921626
2025-02,2806020.14,1722,1629.5122764227642,-7.456720802040651,-8.744038155802858
2025-03,3031747.02,1911,1586.4714913657772,8.044378469785318,10.97560975609757
2025-04,2989096.9,1895,1577.3598416886543,-1.4067836042599646,-0.8372579801151248
2025-05,2988857.45,1886,1584.7600477200426,-0.00801078078129791,-0.4749340369393118
2025-06,2909320.42,1841,1580.293546985334,-2.6611182142527445,-2.3860021208907733
2025-07,3139896.16,1909,1644.785835515977,7.925415791774504,3.693644758283532
2025-08,3076703.47,1896,1622.733897679325,-2.0125726068597083,-0.6809848088004222
2025-09,2883400.95,1852,1556.9119600431966,-6.2827803161674245,-2.320675105485237
2025-10,2875156.46,1848,1555.8205952380952,-0.2859293640726679,-0.2159827213822907
2025-11,3027023.98,1900,1593.1705157894737,5.282061067382737,2.813852813852824
2025-12,3157549.23,1948,1620.9184958932237,4.311999206560624,2.5263157894736876
